Age,primary_streaming_service,hours_per_day,while_working,Instrumentalist,composer,fav_genre,exploratory,foreign_languages,bpm,classical,country,edm,folk,gospel,hiphop,jazz,kpop,latin,lofi,metal,pop,r&b,rap,rock,video_game,anxiety,depression,insomnia,ocd,Music effects
18,Spotify,3,TRUE,TRUE,TRUE,Latin,TRUE,TRUE,156,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Very frequently,Very frequently,Rarely,Never,Very frequently,Sometimes,Very frequently,Never,Sometimes,3,0,1,0,
63,Pandora,1.5,TRUE,FALSE,FALSE,Rock,TRUE,FALSE,119,Sometimes,Never,Never,Rarely,Sometimes,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Very frequently,Rarely,7,2,2,1,
18,Spotify,4,FALSE,FALSE,FALSE,Video game music,FALSE,TRUE,132,Never,Never,Very frequently,Never,Never,Rarely,Rarely,Very frequently,Never,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Very frequently,7,7,10,2,False effect
61,YouTube Music,2.5,TRUE,FALSE,TRUE,Jazz,TRUE,TRUE,84,Sometimes,Never,Never,Rarely,Sometimes,Never,Very frequently,Sometimes,Very frequently,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,9,7,3,3,Improve
18,Spotify,4,TRUE,FALSE,FALSE,R&B,TRUE,FALSE,107,Never,Never,Rarely,Never,Rarely,Very frequently,Never,Very frequently,Sometimes,Sometimes,Never,Sometimes,Very frequently,Very frequently,Never,Rarely,7,2,5,9,Improve
18,Spotify,5,TRUE,TRUE,TRUE,Jazz,TRUE,TRUE,86,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Sometimes,8,8,7,7,Improve
18,YouTube Music,3,TRUE,TRUE,FALSE,Video game music,TRUE,TRUE,66,Sometimes,Never,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Rarely,4,8,6,0,Improve
21,Spotify,1,TRUE,FALSE,FALSE,K pop,TRUE,TRUE,95,Never,Never,Very frequently,Never,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,5,3,5,3,Improve
19,Spotify,6,TRUE,FALSE,FALSE,Rock,FALSE,FALSE,94,Never,Never,Rarely,Never,Never,Very frequently,Never,Sometimes,Never,Very frequently,Never,Sometimes,Sometimes,Rarely,Rarely,Never,2,0,0,0,Improve
18,I do Falset use a streaming service.,1,TRUE,FALSE,FALSE,R&B,TRUE,TRUE,155,Rarely,Never,Never,Never,Never,Very frequently,Never,Never,Never,Never,Never,Never,Sometimes,Very frequently,Never,Rarely,2,2,5,1,Improve
18,Spotify,3,TRUE,TRUE,FALSE,Country,TRUE,FALSE,,Never,Never,Sometimes,Rarely,Never,Very frequently,Rarely,Never,Never,Never,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Never,7,7,4,7,False effect
19,YouTube Music,8,TRUE,FALSE,FALSE,EDM,TRUE,FALSE,125,Rarely,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Sometimes,Very frequently,Very frequently,Never,1,0,0,1,Improve
0,Spotify,3,TRUE,FALSE,FALSE,Hip hop,TRUE,TRUE,,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Very frequently,Rarely,Never,9,3,2,7,Improve
19,Spotify,2,TRUE,FALSE,FALSE,Country,TRUE,FALSE,88,Never,Never,Sometimes,Rarely,Never,Very frequently,Sometimes,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Rarely,Very frequently,Sometimes,Sometimes,2,1,2,0,Improve
18,Spotify,4,TRUE,TRUE,FALSE,Jazz,TRUE,TRUE,148,Very frequently,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,6,4,7,0,Improve
17,Spotify,2,FALSE,FALSE,FALSE,Pop,TRUE,TRUE,,Rarely,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Very frequently,7,5,4,1,Worsen
16,Spotify,8,TRUE,FALSE,FALSE,Hip hop,TRUE,TRUE,103,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Rarely,Never,Sometimes,Very frequently,Sometimes,Never,Never,Sometimes,Sometimes,8,8,4,3,Improve
16,Spotify,12,TRUE,FALSE,TRUE,Hip hop,TRUE,TRUE,120,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,5,7,10,0,Improve
17,Spotify,24,TRUE,FALSE,FALSE,Rap,TRUE,FALSE,99,Rarely,Never,Rarely,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Never,Very frequently,Never,Rarely,Never,Never,7,5,0,3,Improve
15,Spotify,3,FALSE,FALSE,FALSE,Hip hop,FALSE,FALSE,120,Never,Never,Sometimes,Never,Never,Very frequently,Rarely,Sometimes,Never,Never,Rarely,Very frequently,Sometimes,Very frequently,Very frequently,Never,7,3,0,2,Improve
15,Apple Music,8,TRUE,FALSE,FALSE,Hip hop,TRUE,TRUE,120,Rarely,Never,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Very frequently,Never,6,9,3,0,Improve
17,Spotify,4,TRUE,FALSE,FALSE,Rap,TRUE,FALSE,125,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,10,10,2,4,Improve
